S.No.,Question,Option A,Option B,Option C,Option D,Correct Answer
31,A hospital wants to ensure their AI system is reliable and consistently provides accurate diagnostic results. Which Responsible AI principle applies?,A. Fairness,B. Reliability and Safety,C. Transparency,D. Accountability,B
32,An e-commerce website wants to allow customers to search products by uploading an image. Which Azure AI service applies?,A. Translator,B. Custom Vision,C. QnA Maker,D. Speech Service,B
33,A government agency wants to redact personal identifiers like names and phone numbers from documents before publishing. Which service is best?,A. Computer Vision,B. Text Analytics (PII detection),C. Translator Service,D. Face API,B
34,A hotel chain wants to use AI to optimize room pricing daily depending on demand. Which ML workload applies?,A. Regression,B. Clustering,C. Recommendation,D. Classification,A
35,A car manufacturer wants AI to automatically identify scratches or damages on cars before delivery. Which service is most suitable?,A. Face API,B. Custom Vision,C. Translator API,D. Text Analytics,B
36,A publishing company wants to summarize long research papers into short abstracts. Which AI service is best?,A. Speech-to-Text,B. Text Analytics (Summarization),C. Translator Service,D. Form Recognizer,B
37,A school wants to identify students who are at risk of failing based on grades and attendance. Which ML workload applies?,A. Classification,B. Regression,C. Clustering,D. Reinforcement Learning,A
38,A fitness app wants to convert spoken workout instructions into text for subtitles. Which Azure AI service should they use?,A. Speech-to-Text,B. Translator API,C. Text Analytics,D. Face API,A
39,A social media platform wants to detect offensive or harmful posts automatically. Which service is most suitable?,A. Translator API,B. Text Analytics (Content Moderation),C. Computer Vision,D. QnA Maker,B
40,A smart home company wants to enable users to control devices using voice commands. Which Azure service applies?,A. Translator API,B. Speech-to-Text + Speech Recognition,C. Form Recognizer,D. Computer Vision,B
41,A delivery app wants to group customers by ordering patterns to send personalized offers. Which ML approach applies?,A. Regression,B. Classification,C. Clustering,D. Recommendation,C
42,A transport company wants to forecast fuel consumption for its fleet next month. Which ML workload applies?,A. Clustering,B. Regression,C. Classification,D. Recommendation,B
43,An AI-powered hiring tool is accused of preferring male candidates over equally qualified female candidates. Which Responsible AI principle is violated?,A. Accountability,B. Fairness,C. Transparency,D. Inclusiveness,B
44,A video platform wants to automatically generate subtitles in multiple languages. Which service should they combine?,A. Speech-to-Text + Translator API,B. Form Recognizer + Custom Vision,C. Face API + Bot Service,D. Text Analytics + Speech Recognition,A
45,A hospital wants to use AI to protect sensitive patient health data while training ML models. Which principle applies?,A. Transparency,B. Privacy and Security,C. Reliability,D. Inclusiveness,B
46,A retail company wants an AI chatbot that explains the reasoning behind its product recommendations. Which Responsible AI principle applies?,A. Transparency,B. Reliability,C. Fairness,D. Inclusiveness,A
47,A startup wants to train an ML model but does not have labeled data. They decide to group similar items first to discover patterns. Which ML method applies?,A. Clustering,B. Regression,C. Classification,D. Reinforcement Learning,A
48,A developer wants to deploy a custom-trained ML model as a REST API in Azure. Which service should they use?,A. Azure Cognitive Services,B. Azure Machine Learning,C. QnA Maker,D. Translator Service,B
49,An online education platform wants to automatically grade short descriptive answers using AI. Which ML workload applies?,A. Clustering,B. Natural Language Processing,C. Regression,D. Reinforcement Learning,B
50,A bank wants its AI credit scoring model to be monitored continuously for accuracy drift. Which Azure service supports this?,A. Azure Cognitive Search,B. Azure ML Model Monitoring,C. Text Analytics,D. Translator Service,B
